id;sigla;nome
372;IRL;IRLANDA
376;ISR;ISRAEL
380;ITA;ITÁLIA
384;CIV;COSTA DO MARFIM
388;JAM;JAMAICA
392;JPN;JAPÃO
398;KAZ;CAZAQUISTÃO
400;JOR;JORDÂNIA
404;KEN;QUÊNIA
408;PRK;COREIA DO NORTE
410;KOR;COREIA DO SUL
414;KWT;KUWAIT
417;KGZ;QUIRGUISTÃO
418;LAO;LAOS
422;LBN;LÍBANO
426;LSO;LESOTO
428;LVA;LETÔNIA
430;LBR;LIBÉRIA
434;LBY;LÍBIA
438;LIE;LIECHTENSTEIN
440;LTU;LITUÂNIA
442;LUX;LUXEMBURGO
446;MAC;MACAU
450;MDG;MADAGÁSCAR
454;MWI;MALAWI
458;MYS;MALÁSIA
462;MDV;MALDIVAS
466;MLI;MALI 
470;MLT;MALTA
474;MTQ;MARTINICA
478;MRT;MAURITÂNIA
480;MUS;MAURÍCIO
484;MEX;MÉXICO
492;MCO;MÔNACO
496;MNG;MONGÓLIA
498;MDA;MOLDÁVIA
499;MNE;MONTENEGRO
500;MSR;MONTSERRAT
504;MAR;MARROCOS
508;MOZ;MOÇAMBIQUE
512;OMN;OMAN
516;NAM;NAMÍBIA
520;NRU;NAURU
524;NPL;NEPAL
528;NLD;HOLANDA
531;CUW;CURAÇAO
533;ABW;ARUBA
534;SXM;SINT MAARTEN
535;BES;BONAIRE, SAINT EUSTATIUS E SABA
540;NCL;NOVA CALEDÔNIA
548;VUT;VANUATU
554;NZL;NOVA ZELÂNDIA
558;NIC;NICARÁGUA
562;NER;NÍGER
566;NGA;NIGÉRIA
570;NIU;NIUE
574;NFK;ILHA NORFOLK
578;NOR;NORUEGA
580;MNP;ILHAS MARIANA
581;UMI;ILHAS MENORES DISTANTES DOS ESTADOS UNIDOS
583;FSM;MICRONESIA
584;MHL;ILHAS MARSHALL
585;PLW;PALAU
586;PAK;PAQUISTÃO
591;PAN;PANAMÁ
598;PNG;PAPUA NOVA GUINÉ
600;PRY;PARAGUAI
604;PER;PERU
608;PHL;FILIPINAS
612;PCN;PITCAIRIN
616;POL;POLÔNIA
620;PRT;PORTUGAL
624;GNB;GUINÉ BISSAU
626;TLS;TIMOR LESTE
630;PRI;PORTO RICO
634;QAT;CATAR
638;REU;REUNIÃO
642;ROU;ROMÊNIA
643;RUS;RÚSSIA
646;RWA;RUANDA
652;BLM;SÃO BARTOLOMEU
654;SHN;SANTA HELENA
659;KNA;SÃO CRISTOVÃO E NEVIS
660;AIA;ANGUILLA
662;LCA;SANTA LÚCIA
663;MAF;SAINT-MARTIN
666;SPM;SAINT PIERRE E MIQUELON
670;VCT;SÃO VICENTE E GRANADINAS
674;SMR;SAN MARINO
678;STP;SÃO TOMÉ E PRÍNCIPE
680;;SARK
682;SAU;ARÁBIA SAUDITA
686;SEN;SENEGAL
688;SRB;SÉRVIA
690;SYC;SEYCHELLES
694;SLE;SERRA LEOA
702;SGP;CINGAPURA
703;SVK;ESLOVÁQUIA
704;VNM;VIETNÃ
705;SVN;ESLOVÊNIA
706;SOM;SOMÁLIA
710;ZAF;ÁFRICA DO SUL
716;ZWE;ZIMBÁBUE
724;ESP;ESPANHA
728;SSD;SUDÃO DO SUL
729;SDN;SUDÃO
732;ESH;SAARA OCIDENTAL
740;SUR;SURINAME
744;SJM;SVALBARD E JAN MAYER
748;SWZ;SUAZILÂNDIA
752;SWE;SUÉCIA
756;CHE;SUÍÇA
760;SYR;SÍRIA
762;TJK;TAJIQUISTÃO
764;THA;TAILÂNDIA
768;TGO;TOGO
772;TKL;TOKELAU
776;TON;TONGA
780;TTO;TRINDADE E TOBAGO
784;ARE;EMIRADOS ÁRABES UNIDOS
788;TUN;TUNÍSIA
792;TUR;TURQUIA
795;TKM;TURQUEMENISTÃO
796;TCA;ILHAS TURKS E CAICOS
798;TUV;TUVALU
800;UGA;UGANDA
804;UKR;UCRÂNIA
807;MKD;REPÚBLICA DA MACEDÔNIA
818;EGY;EGITO
826;GBR;REINO UNIDO DA GRÃ BRETANHA E IRLANDA DO NORTE 
830;;ILHAS DO CANAL
831;GGY;GUERNSEY
832;JEY;JERSEY
833;IMN;ILHAS DE MAN
834;TZA;TANZÂNIA
840;USA;ESTADOS UNIDOS DA AMÉRICA
850;VIR;ILHAS VIRGENS AMERICANAS
854;BFA;BURQUINA FASO
858;URY;URUGUAI
860;UZB;UZBEQUISTÃO
862;VEN;VENEZUELA
876;WLF;ILHAS WALLIS E FUTUNA
882;WSM;SAMOA
887;YEM;IÉMEN
894;ZMB;ZÂMBIA
999;OOO;OUTRA NACIONALIDADE1
530;ANT;ANTILHAS HOLANDESAS
736;;SUDÃO
890;;IUGOSLÁVIA
200;;TCHECOSLOVÁQUIA
810;;UNIÃO SOVIÉTICA
582;;ILHAS DO PACÍFICO
900;;CORÉIA DO NORTE/CORÉIA DO SUL
